index;sex;age;age2;age3;carb;fat;protein;sodium;physicalactivity;energyintake;weight;height
106;Male;52;2704;140608;387,8080903;72,63465732;62,86378245;3117,556726;1,6;2456,399407;60,47134212;164,5644458
108;Male;53;2809;148877;388,2777592;72,9753978;63,04307741;3120,835096;1,6;2462,061926;60,47134212;164,5644458
110;Male;54;2916;157464;388,8368544;73,20291756;63,19870171;3123,227586;1,6;2466,968483;60,47134212;164,5644458
112;Male;55;3025;166375;389,5780607;73,34963596;63,33967931;3125,595391;1,6;2471,817684;60,47134212;164,5644458
114;Male;56;3136;175616;390,4960228;73,45737299;63,47034438;3128,46759;1,6;2476,981826;60,47134212;164,5644458
116;Male;57;3249;185193;391,4785043;73,56208618;63,5880807;3131,958186;1,6;2482,325116;60,47134212;164,5644458
118;Male;58;3364;195112;392,3508003;73,69067886;63,6860991;3136,019451;1,6;2487,363707;60,47134212;164,5644458
120;Male;59;3481;205379;392,9442657;73,86389289;63,75798167;3140,633435;1,6;2491,584025;60,47134212;164,5644458
122;Male;60;3600;216000;393,1457494;74,08805737;63,79831608;3145,550167;1,6;2494,568778;60,47134212;164,5644458
124;Male;61;3721;226981;392,9150325;74,34069908;63,80051389;3149,860808;1,6;2495,928477;60,47134212;164,5644458
126;Male;62;3844;238328;392,2707405;74,56638615;63,75506675;3151,898894;1,6;2495,200705;60,47134212;164,5644458
128;Male;63;3969;250047;391,2621718;74,69802126;63,65199021;3149,829395;1,6;2491,93884;60,47134212;164,5644458
130;Male;64;4096;262144;389,9412003;74,6911012;63,48613171;3142,57993;1,6;2485,929239;60,47134212;164,5644458
132;Male;65;4225;274625;388,3566042;74,54933558;63,26307467;3130,570591;1,6;2477,422736;60,47134212;164,5644458
134;Male;66;4356;287496;386,5790906;74,32717599;63,00321022;3115,782475;1,6;2467,273787;60,47134212;164,5644458
136;Male;67;4489;300763;384,736614;74,11566637;62,7417736;3101,193665;1,6;2456,954548;60,47134212;164,5644458
138;Male;68;4624;314432;383,0128547;74,01857723;62,52148741;3089,761889;1,6;2448,304563;60,47134212;164,5644458
140;Male;69;4761;328509;381,5803236;74,12118429;62,37699303;3083,334789;1,6;2442,919925;60,47134212;164,5644458
142;Male;70;4900;343000;380,5033485;74,45342609;62,31767343;3081,894664;1,6;2441,364923;60,47134212;164,5644458
144;Male;71;5041;357911;379,6894133;74,96764044;62,32120275;3083,612583;1,6;2442,751228;60,47134212;164,5644458
146;Male;72;5184;373248;378,9378796;75,5519578;62,34478784;3085,72197;1,6;2445,09829;60,47134212;164,5644458
148;Male;73;5329;389017;378,0497303;76,08048966;62,34742284;3085,73415;1,6;2446,313019;60,47134212;164,5644458
150;Male;74;5476;405224;376,9097784;76,46420925;62,3055601;3082,224844;1,6;2445,039237;60,47134212;164,5644458
152;Male;75;5625;421875;375,4916948;76,66866239;62,21176016;3074,913102;1,6;2440,831781;60,47134212;164,5644458
154;Male;76;5776;438976;373,8157115;76,69389322;62,0613652;3064,274525;1,6;2433,753346;60,47134212;164,5644458
156;Male;77;5929;456533;371,930842;76,55215469;61,84571243;3051,175208;1,6;2424,07561;60,47134212;164,5644458
